start	end	text
0	26560	a ti no te la quito coleccionando penas para llenarte lapitos mañana por el centro para
26560	32200	ver si lo coloco yo lo conozco vosotros el otro equipo soy trigo limpio por el tiempo que
32200	37280	no entiendo más a todos pero es que siempre he sido malo si algo está afilado yo no sé de objetos
37280	43120	romos de rombos como a girar el cuadrado yo no te bailo no a mí me han tirado en la puerta aunque
43120	48480	sé que está mal y tal lo hago con ciencia porque al final que pesa más en la balanza la fe y la
48480	55480	confianza el número y la ciencia y yo apretado como piasma no es hacerlo bien o mal es tener carisma
56560	61880	que quiero hasta que cansa me vuelves en tu danza y no salgo de tus prismas de los coches patrullas de
61880	67200	si me gusta lo trinco de los porros a medias de hacer piranel garito somos el buen vino cosecha
67200	74000	el 95 ya somos un clásico tu padre con el cinto de cuero tengo de rodillas en el suelo dinero por
74000	79960	eso yo no vendo compañero del parque del héroe del frío del nero de no querer ni verte pero sabes
79960	85640	que te quiero sé de cosas buenas pero más de cosas malas ponte preventivo para tu mejor mamada
85640	90240	no está pidiendo el barrio que lo suba para la grada ponte el chubas quiero porque empieza la
90240	97080	empapada joma cállate la boca porque sobras toma toma pa que comas y voy así yo quiero tu helena
97080	104240	de raso como a troya estos gran reserva la cosecha de mi polla del 95 va del 95 malo pero
104240	114360	malo malo desde 95 del 95 yo soy de 95 puta cosecha del 95 del 95 va del 95 malo pero
114360	123680	malo malo desde 95 del 95 yo soy de 95 puta cosecha del 95 prendo salí de dentro y sorprendo
123680	130120	solo saben lo que les cuento miento de nada te juro que te miento y es para no hacerte daño porque
130120	135120	luego me arrepiento y joder a veces pienso que la apacía es un lastre si coge el equipo como
135120	140080	equipos de paz que se estoy en el lugar es pa pillar el pastel para reventar el hotel me están
140080	146400	pagando sin más te pondrá los chavales en nómina me acuerdo de lo que no se me olvida
146400	152680	antes se me escapaba de la lógica creía que era tóxica va a dormir en su vida como que vengo a
152680	158200	puta como la luna caballo ganador tiene fuerza está en las llunas lo baja el ritmo ni corriendo
158200	163720	entre la pluma nos asusta del pulmalo en fila y lo desploma lo vos solitarios que le cantan a las
163720	169400	lunas se comieron el pollo te dejaron esas plumas demónle la vuelta de la celda hasta la cima te
169400	175720	voy a dar el corte como tú a la cocaína primas os quisimos demasiado pero mira biego nos han
175720	181400	dejado tirados sacamos preventivo y hemos echado los cados empiezan las apuestas para manager del
181400	187440	año saludos para jota para crítica la golden ya lo saben ellos nuestra vida es un desorden antes
187440	192600	de la music pegatinas para el polen somos de la calle ni de brúklin ni de charlen crecimos con
192600	198160	bastardos no conocen vecindarios tenemos a los nuestros y cojones necesarios no es que sea malo
198160	205600	tengo el corazón de barro del 95 ya lo sabes soy muy guarro del 95 va de 95 malo pero malo
205600	218360	malo desde 95 de 95 yo soy de 95 puta de 95 de 95 va de 95 malo pero malo malo desde 95 de 95
218360	222200	yo soy de 95 puta de 95
